Lake Level (masl),Area (Ha),Available Volume (m3)
382.12,331,23294227
382.13,332,23327380
382.14,332,23360560
382.15,332,23393768
382.16,332,23427003
382.17,333,23460265
382.18,333,23493554
382.19,333,23526871
382.2,333,23560214
382.21,334,23593584
382.22,334,23626980
382.23,334,23660403
382.24,334,23693852
382.25,335,23727328
382.26,335,23760830
382.27,335,23794358
382.28,336,23827912
382.29,336,23861494
382.3,336,23895102
382.31,336,23928736
382.32,337,23962397
382.33,337,23996083
382.34,337,24029795
382.35,337,24063532
382.36,338,24097294
382.37,338,24131083
382.38,338,24164899
382.39,338,24198741
382.4,339,24232610
382.41,339,24266505
382.42,339,24300427
382.43,339,24334377
382.44,340,24368354
382.45,340,24402359
382.46,340,24436391
382.47,341,24470451
382.48,341,24504540
382.49,341,24538657
382.5,341,24572801
382.51,342,24606973
382.52,342,24641172
382.53,342,24675398
382.54,343,24709651
382.55,343,24743930
382.56,343,24778236
382.57,343,24812569
382.58,344,24846928
382.59,344,24881314
382.6,344,24915726
382.61,344,24950165
382.62,345,24984630
382.63,345,25019121
382.64,345,25053639
382.65,345,25088184
382.66,346,25122757
382.67,346,25157358
382.68,346,25191987
382.69,347,25226644
382.7,347,25261329
382.71,347,25296042
382.72,347,25330784
382.73,348,25365556
382.74,348,25400357
382.75,348,25435190
382.76,349,25470053
382.77,349,25504947
382.78,349,25539871
382.79,350,25574825
382.8,350,25609807
382.81,350,25644819
382.82,350,25679860
382.83,351,25714931
382.84,351,25750031
382.85,351,25785160
382.86,352,25820317
382.87,352,25855504
382.88,352,25890720
382.89,352,25925964
382.9,353,25961236
382.91,353,25996536
382.92,353,26031866
382.93,354,26067225
382.94,354,26102614
382.95,354,26138034
382.96,354,26173483
382.97,355,26208962
382.98,355,26244470
382.99,355,26280008
383,356,26315575
383.01,356,26351173
383.02,356,26386799
383.03,357,26422456
383.04,357,26458142
383.05,357,26493859
383.06,357,26529606
383.07,358,26565383
383.08,358,26601190
383.09,358,26637027
383.1,359,26672896
383.11,359,26708795
383.12,359,26744725
383.13,360,26780684
383.14,360,26816674
383.15,360,26852695
383.16,361,26888746
383.17,361,26924827
383.18,361,26960939
383.19,361,26997080
383.2,362,27033251
383.21,362,27069451
383.22,362,27105678
383.23,363,27141933
383.24,363,27178216
383.25,363,27214527
383.26,363,27250865
383.27,364,27287230
383.28,364,27323623
383.29,364,27360044
383.3,364,27396492
383.31,365,27432968
383.32,365,27469472
383.33,365,27506003
383.34,366,27542561
383.35,366,27579147
383.36,366,27615761
383.37,366,27652403
383.38,367,27689073
383.39,367,27725770
383.4,367,27762495
383.41,368,27799246
383.42,368,27836025
383.43,368,27872829
383.44,368,27909660
383.45,369,27946517
383.46,369,27983400
383.47,369,28020309
383.48,369,28057244
383.49,370,28094205
383.5,370,28131192
383.51,370,28168206
383.52,370,28205246
383.53,371,28242311
383.54,371,28279403
383.55,371,28316521
383.56,371,28353666
383.57,372,28390838
383.58,372,28428038
383.59,372,28465264
383.6,373,28502517
383.61,373,28539797
383.62,373,28577104
383.63,373,28614438
383.64,374,28651798
383.65,374,28689186
383.66,374,28726602
383.67,374,28764045
383.68,375,28801516
383.69,375,28839015
383.7,375,28876540
383.71,376,28914094
383.72,376,28951674
383.73,376,28989282
383.74,376,29026917
383.75,377,29064580
383.76,377,29102270
383.77,377,29139986
383.78,377,29177730
383.79,378,29215501
383.8,378,29253298
383.81,378,29291122
383.82,379,29328973
383.83,379,29366851
383.84,379,29404757
383.85,379,29442690
383.86,380,29480651
383.87,380,29518639
383.88,380,29556654
383.89,380,29594697
383.9,381,29632768
383.91,381,29670868
383.92,381,29708996
383.93,382,29747153
383.94,382,29785338
383.95,382,29823551
383.96,382,29861792
383.97,383,29900061
383.98,383,29938359
383.99,383,29976686
384,384,30015041
384.01,384,30053425
384.02,384,30091838
384.03,384,30130281
384.04,385,30168752
384.05,385,30207252
384.06,385,30245782
384.07,386,30284342
384.08,386,30322930
384.09,386,30361548
384.1,386,30400194
384.11,387,30438870
384.12,387,30477575
384.13,387,30516309
384.14,388,30555073
384.15,388,30593866
384.16,388,30632688
384.17,389,30671540
384.18,389,30710421
384.19,389,30749332
384.2,389,30788272
384.21,390,30827243
384.22,390,30866243
384.23,390,30905272
384.24,391,30944329
384.25,391,30983415
384.26,391,31022529
384.27,391,31061671
384.28,392,31100840
384.29,392,31140038
384.3,392,31179264
384.31,393,31218517
384.32,393,31257798
384.33,393,31297108
384.34,393,31336445
384.35,394,31375810
384.36,394,31415203
384.37,394,31454624
384.38,394,31494071
384.39,395,31533545
384.4,395,31573046
384.41,395,31612574
384.42,396,31652128
384.43,396,31691709
384.44,396,31731316
384.45,396,31770950
384.46,397,31810610
384.47,397,31850297
384.48,397,31890010
384.49,397,31929749
384.5,398,31969514
384.51,398,32009305
384.52,398,32049124
384.53,398,32088972
384.54,399,32128849
384.55,399,32168754
384.56,399,32208686
384.57,400,32248646
384.58,400,32288633
384.59,400,32328648
384.6,400,32368690
384.61,401,32408761
384.62,401,32448859
384.63,401,32488984
384.64,402,32529136
384.65,402,32569315
384.66,402,32609523
384.67,402,32649757
384.68,403,32690019
384.69,403,32730308
384.7,403,32770625
384.71,403,32810969
384.72,404,32851340
384.73,404,32891738
384.74,404,32932164
384.75,405,32972618
384.76,405,33013100
384.77,405,33053610
384.78,405,33094148
384.79,406,33134714
384.8,406,33175308
384.81,406,33215929
384.82,406,33256577
384.83,407,33297252
384.84,407,33337954
384.85,407,33378683
384.86,408,33419439
384.87,408,33460222
384.88,408,33501032
384.89,408,33541870
384.9,409,33582735
384.91,409,33623627
384.92,409,33664548
384.93,409,33705497
384.94,410,33746474
384.95,410,33787479
384.96,410,33828511
384.97,411,33869571
384.98,411,33910660
384.99,411,33951777
385,411,33992923
385.01,412,34034097
385.02,412,34075299
385.03,412,34116529
385.04,413,34157787
385.05,413,34199074
385.06,413,34240389
385.07,413,34281733
385.08,414,34323107
385.09,414,34364510
385.1,414,34405943
385.11,415,34447406
385.12,415,34488899
385.13,415,34530422
385.14,416,34571974
385.15,416,34613555
385.16,416,34655166
385.17,416,34696805
385.18,417,34738473
385.19,417,34780170
385.2,417,34821895
385.21,418,34863649
385.22,418,34905432
385.23,418,34947243
385.24,418,34989082
385.25,419,35030950
385.26,419,35072846
385.27,419,35114769
385.28,420,35156720
385.29,420,35198700
385.3,420,35240709
385.31,420,35282747
385.32,421,35324814
385.33,421,35366909
385.34,421,35409032
385.35,421,35451181
385.36,422,35493357
385.37,422,35535559
385.38,422,35577789
385.39,423,35620046
385.4,423,35662330
385.41,423,35704641
385.42,423,35746978
385.43,424,35789344
385.44,424,35831738
385.45,424,35874158
385.46,424,35916606
385.47,425,35959082
385.48,425,36001584
385.49,425,36044115
385.5,426,36086672
385.51,426,36129258
385.52,426,36171870
385.53,426,36214511
385.54,427,36257179
385.55,427,36299874
385.56,427,36342598
385.57,428,36385349
385.58,428,36428130
385.59,428,36470939
385.6,428,36513777
385.61,429,36556644
385.62,429,36599539
385.63,429,36642464
385.64,430,36685418
385.65,430,36728402
385.66,430,36771415
385.67,430,36814458
385.68,431,36857530
385.69,431,36900633
385.7,431,36943765
385.71,432,36986927
385.72,432,37030120
385.73,432,37073342
385.74,433,37116594
385.75,433,37159876
385.76,433,37203188
385.77,433,37246530
385.78,434,37289903
385.79,434,37333305
385.8,434,37376737
385.81,435,37420198
385.82,435,37463689
385.83,435,37507208
385.84,435,37550756
385.85,436,37594333
385.86,436,37637940
385.87,436,37681576
385.88,437,37725241
385.89,437,37768937
385.9,437,37812662
385.91,438,37856419
385.92,438,37900206
385.93,438,37944025
385.94,439,37987875
385.95,439,38031757
385.96,439,38075669
385.97,439,38119611
385.98,440,38163584
385.99,440,38207586
386,440,38251618
386.01,441,38295681
386.02,441,38339773
386.03,441,38383895
386.04,442,38428047
386.05,442,38472228
386.06,442,38516440
386.07,442,38560682
386.08,443,38604954
386.09,443,38649257
386.1,443,38693589
386.11,444,38737951
386.12,444,38782343
386.13,444,38826763
386.14,444,38871211
386.15,445,38915688
386.16,445,38960194
386.17,445,39004728
386.18,446,39049290
386.19,446,39093881
386.2,446,39138500
386.21,446,39183148
386.22,447,39227824
386.23,447,39272530
386.24,447,39317265
386.25,448,39362029
386.26,448,39406822
386.27,448,39451645
386.28,449,39496497
386.29,449,39541378
386.3,449,39586287
386.31,449,39631225
386.32,450,39676192
386.33,450,39721188
386.34,450,39766212
386.35,451,39811265
386.36,451,39856347
386.37,451,39901458
386.38,451,39946598
386.39,452,39991768
386.4,452,40036967
386.41,452,40082195
386.42,453,40127453
386.43,453,40172740
386.44,453,40218056
386.45,453,40263403
386.46,454,40308780
386.47,454,40354188
386.48,454,40399625
386.49,455,40445094
386.5,455,40490592
386.51,455,40536120
386.52,456,40581677
386.53,456,40627262
386.54,456,40672876
386.55,456,40718519
386.56,457,40764191
386.57,457,40809891
386.58,457,40855621
386.59,458,40901380
386.6,458,40947167
386.61,458,40992984
386.62,458,41038830
386.63,459,41084705
386.64,459,41130609
386.65,459,41176543
386.66,460,41222507
386.67,460,41268501
386.68,460,41314525
386.69,461,41360578
386.7,461,41406660
386.71,461,41452772
386.72,461,41498913
386.73,462,41545084
386.74,462,41591284
386.75,462,41637514
386.76,463,41683774
386.77,463,41730064
386.78,463,41776384
386.79,464,41822735
386.8,464,41869115
386.81,464,41915524
386.82,464,41961963
386.83,465,42008431
386.84,465,42054929
386.85,465,42101455
386.86,466,42148010
386.87,466,42194593
386.88,466,42241205
386.89,466,42287846
386.9,467,42334516
386.91,467,42381214
386.92,467,42427943
386.93,468,42474702
386.94,468,42521490
386.95,468,42568307
386.96,468,42615154
386.97,469,42662031
386.98,469,42708936
386.99,469,42755870
387,470,42802833
387.01,470,42849824
387.02,470,42896845
387.03,470,42943894
387.04,471,42990972
387.05,471,43038079
387.06,471,43085215
387.07,472,43132379
387.08,472,43179572
387.09,472,43226794
387.1,472,43274043
387.11,473,43321321
387.12,473,43368627
387.13,473,43415961
387.14,474,43463323
387.15,474,43510713
387.16,474,43558132
387.17,474,43605580
387.18,475,43653056
387.19,475,43700560
387.2,475,43748094
387.21,476,43795656
387.22,476,43843247
387.23,476,43890867
387.24,476,43938516
387.25,477,43986194
387.26,477,44033901
387.27,477,44081637
387.28,478,44129403
387.29,478,44177199
387.3,478,44225023
387.31,479,44272877
387.32,479,44320761
387.33,479,44368673
387.34,479,44416616
387.35,480,44464589
387.36,480,44512592
387.37,480,44560626
387.38,481,44608691
387.39,481,44656788
387.4,481,44704917
387.41,482,44753076
387.42,482,44801267
387.43,482,44849488
387.44,483,44897740
387.45,483,44946024
387.46,483,44994339
387.47,483,45042685
387.48,484,45091062
387.49,484,45139471
387.5,484,45187911
387.51,485,45236382
387.52,485,45284886
387.53,485,45333422
387.54,486,45381990
387.55,486,45430590
387.56,486,45479223
387.57,487,45527888
387.58,487,45576586
387.59,487,45625317
387.6,488,45674082
387.61,488,45722880
387.62,488,45771712
387.63,489,45820578
387.64,489,45869478
387.65,489,45918412
387.66,490,45967381
387.67,490,46016384
387.68,490,46065423
387.69,491,46114496
387.7,491,46163604
387.71,491,46212748
387.72,492,46261927
387.73,492,46311142
387.74,493,46360393
387.75,493,46409680
387.76,493,46459002
387.77,494,46508361
387.78,494,46557756
387.79,494,46607187
387.8,495,46656655
387.81,495,46706161
387.82,495,46755704
387.83,496,46805285
387.84,496,46854903
387.85,497,46904558
387.86,497,46954252
387.87,497,47003984
387.88,498,47053754
387.89,498,47103562
387.9,498,47153408
387.91,499,47203291
387.92,499,47253213
387.93,500,47303172
387.94,500,47353170
387.95,500,47403207
387.96,501,47453286
387.97,501,47503407
387.98,502,47553569
387.99,502,47603773
388,502,47654016
388.01,503,47704298
388.02,503,47754619
388.03,504,47804979
388.04,504,47855380
388.05,504,47905823
388.06,505,47956307
388.07,505,48006832
388.08,506,48057397
388.09,506,48108001
388.1,506,48158644
388.11,507,48209324
388.12,507,48260041
388.13,508,48310794
388.14,508,48361584
388.15,508,48412409
388.16,509,48463269
388.17,509,48514166
388.18,509,48565098
388.19,510,48616066
388.2,510,48667069
388.21,510,48718107
388.22,511,48769180
388.23,511,48820288
388.24,511,48871430
388.25,512,48922607
388.26,512,48973818
388.27,512,49025064
388.28,513,49076345
388.29,513,49127661
388.3,514,49179012
388.31,514,49230399
388.32,514,49281820
388.33,515,49333277
388.34,515,49384768
388.35,515,49436296
388.36,516,49487858
388.37,516,49539455
388.38,516,49591087
388.39,517,49642754
388.4,517,49694455
388.41,517,49746190
388.42,518,49797960
388.43,518,49849765
388.44,518,49901604
388.45,519,49953478
388.46,519,50005386
388.47,519,50057329
388.48,520,50109306
388.49,520,50161317
388.5,520,50213363
388.51,521,50265443
388.52,521,50317556
388.53,521,50369704
388.54,522,50421886
388.55,522,50474103
388.56,523,50526355
388.57,523,50578641
388.58,523,50630963
388.59,524,50683319
388.6,524,50735710
388.61,524,50788137
388.62,525,50840601
388.63,525,50893103
388.64,525,50945645
388.65,526,50998235
388.66,526,51050867
388.67,527,51103535
388.68,527,51156239
388.69,527,51208979
388.7,528,51261754
388.71,528,51314565
388.72,528,51367411
388.73,529,51420292
388.74,529,51473208
388.75,530,51526158
388.76,530,51579143
388.77,530,51632161
388.78,531,51685215
388.79,531,51738302
388.8,531,51791423
388.81,532,51844579
388.82,532,51897768
388.83,532,51950992
388.84,533,52004250
388.85,533,52057541
388.86,533,52110866
388.87,534,52164225
388.88,534,52217618
388.89,534,52271045
388.9,535,52324506
388.91,535,52378002
388.92,535,52431531
388.93,536,52485095
388.94,536,52538694
388.95,536,52592328
388.96,537,52645997
388.97,537,52699700
388.98,537,52753438
388.99,538,52807210
389,538,52861017
389.01,538,52914858
389.02,539,52968733
389.03,539,53022643
389.04,539,53076588
389.05,540,53130567
389.06,540,53184580
389.07,540,53238628
389.08,541,53292709
389.09,541,53346825
389.1,541,53400975
389.11,542,53455159
389.12,542,53509377
389.13,543,53563629
389.14,543,53617915
389.15,543,53672235
389.16,544,53726589
389.17,544,53780977
389.18,544,53835399
389.19,545,53889853
389.2,545,53944342
389.21,545,53998863
389.22,546,54053419
389.23,546,54108007
389.24,546,54162629
389.25,547,54217285
389.26,547,54271974
389.27,547,54326697
389.28,548,54381452
389.29,548,54436241
389.3,548,54491063
389.31,549,54545919
389.32,549,54600808
389.33,549,54655730
389.34,550,54710685
389.35,550,54765673
389.36,550,54820694
389.37,551,54875748
389.38,551,54930836
389.39,551,54985956
389.4,552,55041109
389.41,552,55096296
389.42,552,55151515
389.43,553,55206768
389.44,553,55262054
389.45,553,55317372
389.46,554,55372724
389.47,554,55428108
389.48,554,55483525
389.49,554,55538975
389.5,555,55594457
389.51,555,55649972
389.52,555,55705521
389.53,556,55761102
389.54,556,55816716
389.55,556,55872363
389.56,557,55928045
389.57,557,55983760
389.58,557,56039509
389.59,558,56095293
389.6,558,56151113
389.61,559,56206967
389.62,559,56262855
389.63,559,56318777
389.64,560,56374733
389.65,560,56430723
389.66,560,56486748
389.67,561,56542807
389.68,561,56598899
389.69,561,56655026
389.7,562,56711188
389.71,562,56767383
389.72,562,56823612
389.73,563,56879875
389.74,563,56936172
389.75,563,56992503
389.76,564,57048868
389.77,564,57105267
389.78,564,57161700
389.79,565,57218168
389.8,565,57274669
389.81,565,57331204
389.82,566,57387773
389.83,566,57444376
389.84,566,57501012
389.85,567,57557683
389.86,567,57614388
389.87,567,57671128
389.88,568,57727901
389.89,568,57784709
389.9,568,57841551
389.91,569,57898428
389.92,569,57955339
389.93,569,58012285
389.94,570,58069266
389.95,570,58126282
389.96,571,58183333
389.97,571,58240418
389.98,571,58297539
389.99,572,58354695
390,572,58411886
390.01,572,58469113
390.02,573,58526377
390.03,573,58583676
390.04,573,58641012
390.05,574,58698382
390.06,574,58755788
390.07,574,58813229
390.08,575,58870706
390.09,575,58928217
390.1,575,58985763
390.11,576,59043344
390.12,576,59100961
390.13,577,59158613
390.14,577,59216300
390.15,577,59274023
390.16,578,59331782
390.17,578,59389576
390.18,578,59447407
390.19,579,59505273
390.2,579,59563176
390.21,579,59621115
390.22,580,59679089
390.23,580,59737100
390.24,580,59795146
390.25,581,59853229
390.26,581,59911348
390.27,582,59969503
390.28,582,60027693
390.29,582,60085919
390.3,583,60144180
390.31,583,60202476
390.32,583,60260807
390.33,584,60319176
390.34,584,60377581
390.35,584,60436021
390.36,585,60494497
390.37,585,60553007
390.38,585,60611552
390.39,586,60670131
390.4,586,60728744
390.41,586,60787391
390.42,587,60846072
390.43,587,60904788
390.44,588,60963538
390.45,588,61022323
390.46,588,61081141
390.47,589,61139992
390.48,589,61198878
390.49,589,61257797
390.5,590,61316749
390.51,590,61375735
390.52,590,61434754
390.53,591,61493806
390.54,591,61552891
390.55,591,61612009
390.56,592,61671160
390.57,592,61730344
390.58,592,61789561
390.59,593,61848811
390.6,593,61908095
390.61,593,61967412
390.62,594,62026763
390.63,594,62086147
390.64,594,62145564
390.65,595,62205015
390.66,595,62264500
390.67,595,62324018
390.68,596,62383571
390.69,596,62443156
390.7,596,62502776
390.71,597,62562428
390.72,597,62622115
390.73,597,62681834
390.74,598,62741587
390.75,598,62801373
390.76,598,62861192
390.77,599,62921046
390.78,599,62980934
390.79,599,63040857
390.8,600,63100815
390.81,600,63160806
390.82,600,63220832
390.83,601,63280892
390.84,601,63340985
390.85,601,63401113
390.86,602,63461274
390.87,602,63521470
390.88,602,63581699
390.89,603,63641962
390.9,603,63702257
390.91,603,63762586
390.92,604,63822948
390.93,604,63883342
390.94,604,63943770
390.95,605,64004230
390.96,605,64064723
390.97,605,64125250
390.98,606,64185809
390.99,606,64246403
391,606,64307030
391.01,607,64367690
391.02,607,64428383
391.03,607,64489110
391.04,608,64549869
391.05,608,64610662
391.06,608,64671488
391.07,609,64732347
391.08,609,64793240
391.09,609,64854166
391.1,610,64915126
391.11,610,64976119
391.12,610,65037146
391.13,611,65098206
391.14,611,65159299
391.15,611,65220425
391.16,612,65281584
391.17,612,65342777
391.18,612,65404003
391.19,613,65465262
391.2,613,65526554
391.21,613,65587879
391.22,614,65649237
391.23,614,65710628
391.24,614,65772053
391.25,615,65833510
391.26,615,65895001
391.27,615,65956525
391.28,616,66018081
391.29,616,66079671
391.3,616,66141295
391.31,617,66202951
391.32,617,66264642
391.33,617,66326366
391.34,618,66388125
391.35,618,66449918
391.36,618,66511745
391.37,619,66573607
391.38,619,66635503
391.39,619,66697434
391.4,620,66759400
391.41,620,66821401
391.42,620,66883437
391.43,621,66945507
391.44,621,67007613
391.45,621,67069754
391.46,622,67131931
391.47,622,67194142
391.48,622,67256389
391.49,623,67318671
391.5,623,67380989
391.51,624,67443342
391.52,624,67505730
391.53,624,67568152
391.54,625,67630610
391.55,625,67693104
391.56,625,67755632
391.57,626,67818196
391.58,626,67880794
391.59,626,67943427
391.6,627,68006094
391.61,627,68068796
391.62,627,68131532
391.63,628,68194303
391.64,628,68257108
391.65,628,68319948
391.66,629,68382822
391.67,629,68445731
391.68,629,68508676
391.69,630,68571655
391.7,630,68634669
391.71,630,68697717
391.72,631,68760801
391.73,631,68823920
391.74,632,68887075
391.75,632,68950266
391.76,632,69013493
391.77,633,69076756
391.78,633,69140055
391.79,633,69203390
391.8,634,69266760
391.81,634,69330166
391.82,634,69393607
391.83,635,69457085
391.84,635,69520598
391.85,635,69584147
391.86,636,69647732
391.87,636,69711354
391.88,637,69775011
391.89,637,69838704
391.9,637,69902433
391.91,638,69966198
391.92,638,70030000
391.93,638,70093839
391.94,639,70157714
391.95,639,70221625
391.96,639,70285573
391.97,640,70349559
391.98,640,70413581
391.99,641,70477639
392,641,70541735
392.01,641,70605867
392.02,642,70670036
392.03,642,70734241
392.04,642,70798482
392.05,643,70862760
392.06,643,70927074
392.07,644,70991425
392.08,644,71055812
392.09,644,71120236
392.1,645,71184696
392.11,645,71249193
392.12,645,71313727
392.13,646,71378298
392.14,646,71442906
392.15,646,71507551
392.16,647,71572232
392.17,647,71636951
392.18,648,71701706
392.19,648,71766498
392.2,648,71831326
