Lake Level (masl),Area (Ha),Available Volume (m3)
371.37,104,1306030
371.38,104,1316447
371.39,104,1326878
371.4,104,1337322
371.41,105,1347778
371.42,105,1358247
371.43,105,1368728
371.44,105,1379222
371.45,105,1389730
371.46,105,1400250
371.47,105,1410784
371.48,105,1421331
371.49,106,1431892
371.5,106,1442466
371.51,106,1453055
371.52,106,1463658
371.53,106,1474277
371.54,106,1484910
371.55,106,1495558
371.56,107,1506221
371.57,107,1516898
371.58,107,1527590
371.59,107,1538296
371.6,107,1549018
371.61,107,1559754
371.62,108,1570505
371.63,108,1581270
371.64,108,1592049
371.65,108,1602844
371.66,108,1613655
371.67,108,1624482
371.68,108,1635324
371.69,109,1646180
371.7,109,1657051
371.71,109,1667936
371.72,109,1678836
371.73,109,1689749
371.74,109,1700677
371.75,109,1711618
371.76,110,1722574
371.77,110,1733543
371.78,110,1744526
371.79,110,1755522
371.8,110,1766532
371.81,110,1777556
371.82,110,1788594
371.83,111,1799646
371.84,111,1810713
371.85,111,1821795
371.86,111,1832892
371.87,111,1844005
371.88,111,1855134
371.89,111,1866277
371.9,112,1877436
371.91,112,1888610
371.92,112,1899798
371.93,112,1911000
371.94,112,1922216
371.95,112,1933447
371.96,112,1944692
371.97,113,1955951
371.98,113,1967225
371.99,113,1978514
372,113,1989819
372.01,113,2001140
372.02,113,2012477
372.03,114,2023831
372.04,114,2035200
372.05,114,2046586
372.06,114,2057987
372.07,114,2069405
372.08,114,2080838
372.09,114,2092288
372.1,115,2103754
372.11,115,2115235
372.12,115,2126732
372.13,115,2138245
372.14,115,2149774
372.15,115,2161319
372.16,116,2172880
372.17,116,2184457
372.18,116,2196049
372.19,116,2207656
372.2,116,2219279
372.21,116,2230918
372.22,117,2242572
372.23,117,2254242
372.24,117,2265927
372.25,117,2277628
372.26,117,2289345
372.27,117,2301077
372.28,117,2312826
372.29,118,2324590
372.3,118,2336371
372.31,118,2348168
372.32,118,2359981
372.33,118,2371811
372.34,118,2383658
372.35,119,2395524
372.36,119,2407408
372.37,119,2419309
372.38,119,2431228
372.39,119,2443165
372.4,120,2455119
372.41,120,2467089
372.42,120,2479076
372.43,120,2491079
372.44,120,2503099
372.45,120,2515135
372.46,121,2527188
372.47,121,2539259
372.48,121,2551346
372.49,121,2563451
372.5,121,2575572
372.51,121,2587710
372.52,122,2599866
372.53,122,2612040
372.54,122,2624230
372.55,122,2636436
372.56,122,2648658
372.57,122,2660898
372.58,123,2673154
372.59,123,2685429
372.6,123,2697721
372.61,123,2710029
372.62,123,2722353
372.63,123,2734693
372.64,124,2747048
372.65,124,2759418
372.66,124,2771804
372.67,124,2784206
372.68,124,2796623
372.69,124,2809057
372.7,124,2821506
372.71,125,2833972
372.72,125,2846452
372.73,125,2858948
372.74,125,2871459
372.75,125,2883984
372.76,125,2896526
372.77,126,2909082
372.78,126,2921653
372.79,126,2934238
372.8,126,2946838
372.81,126,2959453
372.82,126,2972081
372.83,126,2984724
372.84,127,2997381
372.85,127,3010052
372.86,127,3022737
372.87,127,3035437
372.88,127,3048152
372.89,127,3060881
372.9,127,3073625
372.91,128,3086384
372.92,128,3099157
372.93,128,3111945
372.94,128,3124746
372.95,128,3137562
372.96,128,3150392
372.97,128,3163236
372.98,129,3176094
372.99,129,3188966
373,129,3201851
373.01,129,3214751
373.02,129,3227665
373.03,129,3240593
373.04,129,3253537
373.05,130,3266496
373.06,130,3279469
373.07,130,3292459
373.08,130,3305464
373.09,130,3318485
373.1,130,3331522
373.11,131,3344575
373.12,131,3357642
373.13,131,3370725
373.14,131,3383823
373.15,131,3396936
373.16,131,3410065
373.17,131,3423209
373.18,132,3436369
373.19,132,3449545
373.2,132,3462737
373.21,132,3475946
373.22,132,3489171
373.23,132,3502413
373.24,133,3515673
373.25,133,3528949
373.26,133,3542244
373.27,133,3555556
373.28,133,3568887
373.29,133,3582236
373.3,134,3595604
373.31,134,3608989
373.32,134,3622392
373.33,134,3635814
373.34,134,3649253
373.35,135,3662711
373.36,135,3676188
373.37,135,3689684
373.38,135,3703200
373.39,135,3716735
373.4,136,3730288
373.41,136,3743859
373.42,136,3757448
373.43,136,3771055
373.44,136,3784680
373.45,136,3798323
373.46,137,3811983
373.47,137,3825661
373.48,137,3839357
373.49,137,3853070
373.5,137,3866800
373.51,137,3880548
373.52,138,3894313
373.53,138,3908096
373.54,138,3921897
373.55,138,3935714
373.56,138,3949549
373.57,139,3963400
373.58,139,3977269
373.59,139,3991154
373.6,139,4005057
373.61,139,4018977
373.62,139,4032914
373.63,140,4046869
373.64,140,4060841
373.65,140,4074830
373.66,140,4088835
373.67,140,4102857
373.68,140,4116895
373.69,141,4130950
373.7,141,4145021
373.71,141,4159107
373.72,141,4173210
373.73,141,4187329
373.74,141,4201463
373.75,142,4215614
373.76,142,4229781
373.77,142,4243964
373.78,142,4258163
373.79,142,4272378
373.8,142,4286609
373.81,142,4300857
373.82,143,4315121
373.83,143,4329402
373.84,143,4343699
373.85,143,4358012
373.86,143,4372341
373.87,143,4386687
373.88,144,4401049
373.89,144,4415429
373.9,144,4429824
373.91,144,4444236
373.92,144,4458664
373.93,144,4473109
373.94,145,4487571
373.95,145,4502049
373.96,145,4516544
373.97,145,4531056
373.98,145,4545587
373.99,145,4560135
374,146,4574701
374.01,146,4589286
374.02,146,4603888
374.03,146,4618510
374.04,146,4633149
374.05,147,4647807
374.06,147,4662483
374.07,147,4677178
374.08,147,4691894
374.09,147,4706630
374.1,148,4721386
374.11,148,4736160
374.12,148,4750953
374.13,148,4765765
374.14,148,4780595
374.15,148,4795445
374.16,149,4810313
374.17,149,4825200
374.18,149,4840106
374.19,149,4855029
374.2,149,4869971
374.21,150,4884931
374.22,150,4899908
374.23,150,4914903
374.24,150,4929916
374.25,150,4944946
374.26,150,4959994
374.27,151,4975060
374.28,151,4990144
374.29,151,5005245
374.3,151,5020364
374.31,151,5035500
374.32,152,5050654
374.33,152,5065827
374.34,152,5081017
374.35,152,5096226
374.36,152,5111454
374.37,152,5126700
374.38,153,5141966
374.39,153,5157250
374.4,153,5172553
374.41,153,5187874
374.42,153,5203212
374.43,154,5218569
374.44,154,5233944
374.45,154,5249336
374.46,154,5264746
374.47,154,5280173
374.48,154,5295618
374.49,155,5311080
374.5,155,5326560
374.51,155,5342057
374.52,155,5357572
374.53,155,5373103
374.54,155,5388651
374.55,156,5404216
374.56,156,5419797
374.57,156,5435396
374.58,156,5451013
374.59,156,5466646
374.6,157,5482298
374.61,157,5497968
374.62,157,5513655
374.63,157,5529360
374.64,157,5545082
374.65,157,5560823
374.66,158,5576581
374.67,158,5592357
374.68,158,5608151
374.69,158,5623962
374.7,158,5639792
374.71,158,5655640
374.72,159,5671506
374.73,159,5687393
374.74,159,5703299
374.75,159,5719225
374.76,159,5735171
374.77,160,5751136
374.78,160,5767120
374.79,160,5783123
374.8,160,5799145
