"Julian Day","Level1","Level2"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,19.9609897823793,14.7354714420566
214,20.2817387311136,14.9667507643667
215,20.5933367989065,15.19084732298
216,20.8922216773503,15.4051239370378
217,21.1748310580373,15.6069434256813
218,21.4376026325599,15.7936686080517
219,21.7010253592925,15.9804005563052
220,21.9842617503301,16.181287101952
221,22.2817598278455,16.3922612031647
222,22.5879676140115,16.6092558181159
223,22.897333131001,16.8282039049783
224,23.2043044009868,17.0450384219245
225,23.5033294461417,17.255692327127
226,23.7888562886385,17.4560985787584
227,24.05533295065,17.6421901349914
228,24.2972074543492,17.8098999539987
229,24.5089278219087,17.9551609939526
230,24.7085014981834,18.0897044406138
231,24.9155665120018,18.2268408237954
232,25.1270167614971,18.3648721177493
233,25.3397461448025,18.5021002967273
234,25.5506485600512,18.6368273349814
235,25.7566179053766,18.7673552067633
236,25.9545480789118,18.8919858863249
237,26.1413329787901,19.0090213479182
238,26.3138665031447,19.1167635657949
239,26.4690425501088,19.213514514207
240,26.6037550178157,19.2975761674063
241,26.7148978043986,19.3672504996446
242,26.8077894437607,19.4205951018878
243,26.8900351963452,19.4582612333869
244,26.9619590500955,19.4824413708218
245,27.0238849929549,19.4953279908724
246,27.0761370128668,19.4991135702184
247,27.1190390977744,19.4959905855398
248,27.1529152356212,19.4881515135162
249,27.1780894143504,19.4777888308277
250,27.1948856219054,19.467095014154
251,27.2036278462295,19.458262540175
252,27.2046400752661,19.4534838855705
253,27.1887560185504,19.4399345578168
254,27.1489290247223,19.405744018585
255,27.0886625403826,19.3545356758465
256,27.0114600121318,19.2899329375731
257,26.9208248865707,19.2155592117363
258,26.8202606103,19.1350379063077
259,26.7132706299202,19.051992429259
260,26.603358392032,18.9700461885618
261,26.4940273432362,18.8928225921877
262,26.3887809301333,18.8239450481083
263,26.2911225993241,18.7670369642953
264,26.1845089345572,18.7137584488927
265,26.0529030635441,18.6538364046161
266,25.9005682488297,18.587994431294
267,25.7317677529588,18.516956128755
268,25.550764838476,18.4414450968278
269,25.3618227679261,18.3621849353409
270,25.169204803854,18.2798992441229
271,24.9771742088044,18.1953116230025
272,24.7899942453222,18.1091456718082
273,24.611928175952,18.0221249903686
274,24.4472392632386,17.9349731785124
275,24.2822276951108,17.8498232577238
276,24.1019361566529,17.7674980985521
277,23.9087416561436,17.6867560744235
278,23.7050212018617,17.6063555587638
279,23.4931518020855,17.5250549249991
280,23.2755104650939,17.4416125465555
281,23.0544741991655,17.3547867968589
282,22.8324200125787,17.2633360493354
283,22.6117249136124,17.166018677411
284,22.3947659105451,17.0615930545118
285,22.1839200116554,16.9488175540638
286,21.9815642252221,16.826450549493
287,21.7816907467924,16.6995996467698
288,21.5770901429942,16.5735528365951
289,21.3683369787268,16.4473390694901
290,21.1560058188892,16.3199872959759
291,20.9406712283807,16.1905264665739
292,20.7229077721006,16.0579855318053
293,20.5032900149478,15.9213934421913
294,20.2823925218218,15.7797791482531
295,20.0607898576216,15.6321716005121
296,19.8390565872464,15.4775997494895
297,19.6177672755954,15.3150925457064
