"Julian Day","Level1","Level2"
1,5.32042786376365,3.80196675233568
32,3.90702762103234,2.86931858826164
60,3.19147413597349,2.49887605868571
91,3.14098907132545,2.36296756555481
121,3.22049406981129,2.31149268910006
152,3.46301431301511,2.6500642856147
182,3.68800983073519,2.78250997149506
213,4.00936757626212,3.21940453674799
244,4.14564895227632,3.22563046690794
274,4.42519633743173,3.41595137573961
305,7.0535425852247,5.00282832853586
335,7.75001379198407,5.27274323045455
