Julian Day,Level0,Level1,Level2
281,8.5,6,3.5
282,8.5,6,3.5
283,8.5,6,3.5
284,8.5,6,3.5
285,8.5,6,3.5
286,8.5,6,3.5
287,8.5,6,3.5
288,8.5,6,3.5
289,8.5,6,3.5
290,8.5,6,3.5
291,8.5,6,3.5
292,8.5,6,3.5
293,8.5,6,3.5
294,8.5,6,3.5
295,8.5,6,3.5
296,8.5,6,3.5
297,8.5,6,3.5
298,8.5,6,3.5
299,8.5,6,3.5
300,8.5,6,3.5
301,8.5,6,3.5
302,8.5,6,3.5
303,8.5,6,3.5
304,8.5,6,3.5
305,7,6,3.5
306,7,6,3.5
307,7,6,3.5
308,7,6,3.5
309,7,6,3.5
310,7,6,3.5
311,7,6,3.5
312,7,6,3.5
313,7,6,3.5
314,7,6,3.5
315,7,6,3.5
316,7,6,3.5
317,7,6,3.5
318,7,6,3.5
319,7,6,3.5
320,7,6,3.5
321,7,6,3.5
322,7,6,3.5
323,7,6,3.5
324,7,6,3.5
325,7,6,3.5
326,7,6,3.5
327,7,6,3.5
328,7,6,3.5
329,7,6,3.5
330,7,6,3.5
331,7,6,3.5
332,7,6,3.5
333,7,6,3.5
334,7,6,3.5
335,6,5,3.5
336,6,5,3.5
337,6,5,3.5
338,6,5,3.5
339,6,5,3.5
340,6,5,3.5
341,6,5,3.5
342,6,5,3.5
343,6,5,3.5
344,6,5,3.5
345,6,5,3.5
346,6,5,3.5
347,6,5,3.5
348,6,5,3.5
349,6,5,3.5
350,6,5,3.5
351,6,5,3.5
352,6,5,3.5
353,6,5,3.5
354,6,5,3.5
355,6,5,3.5
356,6,5,3.5
357,6,5,3.5
358,6,5,3.5
359,6,5,3.5
360,6,5,3.5
361,6,5,3.5
362,6,5,3.5
363,6,5,3.5
364,6,5,3.5
365,6,5,3.5
366,6,5,3.5
